Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature
102,0,2225.068,0,6,30,250,501,9.0,6,2226.223,1,736148.689924,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
103,0,2235.397,1,5,0,250,801,0.0,4,2236.122,0,736148.69004,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
104,0,2245.767,0,2,-90,250,851,4.5,2,2246.52,1,736148.690159,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
105,0,2256.623,0,6,30,250,901,9.0,3,2257.75,0,736148.690288,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
106,0,2268.389,1,5,0,250,651,4.5,6,2269.436,0,736148.690424,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
107,0,2275.915,0,2,-90,250,701,9.0,3,2278.799,0,736148.690532,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
108,0,2292.114,0,7,60,250,1001,4.5,7,2293.085,1,736148.690697,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
109,0,2303.657,0,3,-60,250,751,4.5,3,2304.5,1,736148.69083,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
110,0,2312.629,0,3,-60,250,551,0.0,4,2313.557,0,736148.690934,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
111,0,2322.695,0,8,90,250,1001,9.0,8,2323.618,1,736148.691051,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
112,0,2331.49,0,3,-60,250,901,4.5,4,2332.61,0,736148.691155,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
113,0,2340.256,0,6,30,250,701,4.5,6,2341.27,1,736148.691256,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
114,0,2347.077,0,4,-30,250,801,0.0,8,2347.644,0,736148.691333,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0
115,0,2357.436,0,5,0,250,651,9.0,6,2358.322,0,736148.691453,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
116,0,2369.727,0,4,-30,250,751,0.0,3,2374.042,0,736148.691635,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
117,0,2387.678,0,8,90,250,601,9.0,8,2388.677,1,736148.691804,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
118,0,2396.211,0,2,-90,250,951,4.5,8,2397.399,0,736148.691905,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
119,0,2412.425,0,6,30,250,501,4.5,2,2419.961,0,736148.692165,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
1,0,1589.059,0,4,-30,100,951,4.5,4,1598.152,1,736183.587562,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,11.0,35.0
2,0,1606.821,0,2,-90,100,551,0.0,2,1616.307,1,736183.587773,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,10.0,36.0
3,0,1620.593,0,5,0,100,501,4.5,8,1623.108,0,736183.587852,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,10.0,36.0
4,0,1679.251,0,2,-90,100,901,9.0,3,1680.521,0,736183.588516,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,35.0
5,0,1689.08,0,3,-60,100,651,0.0,2,1690.034,0,736183.588626,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,35.0
6,0,1709.564,0,8,90,100,701,9.0,8,1710.706,1,736183.588865,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,35.0
7,0,1717.231,0,7,60,100,751,9.0,8,1717.915,0,736183.58895,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,35.0
8,0,1727.175,0,8,90,100,801,0.0,8,1727.83,1,736183.589066,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,35.0
9,0,1735.017,0,6,30,100,1001,9.0,7,1736.018,0,736183.589158,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,35.0
10,0,1744.837,0,3,-60,100,601,0.0,2,1745.814,0,736183.589272,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
11,0,1756.174,0,6,30,100,801,4.5,7,1758.462,0,736183.589419,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
12,0,1768.863,0,4,-30,100,951,9.0,8,1774.453,0,736183.589603,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
13,0,1786.504,0,5,0,100,701,9.0,4,1787.86,0,736183.589759,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
14,0,1799.929,0,7,60,100,501,4.5,7,1801.323,1,736183.589914,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
15,0,1807.922,0,6,30,100,751,4.5,8,1809.408,0,736183.590008,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
16,0,1817.079,0,3,-60,100,651,0.0,3,1818.46,1,736183.590113,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
17,0,1824.086,0,5,0,100,901,9.0,4,1824.957,0,736183.590187,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
18,0,1837.727,0,5,0,100,1001,0.0,6,1838.608,0,736183.590346,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
19,0,1864.68,0,8,90,100,601,0.0,8,1865.454,1,736183.590657,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
20,0,1871.896,0,7,60,100,551,9.0,8,1872.571,0,736183.590741,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
21,0,1881.645,0,6,30,100,751,4.5,6,1882.518,1,736183.590854,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
22,0,1894.185,0,2,-90,100,951,0.0,2,1894.902,1,736183.590999,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
23,0,1907.754,0,7,60,100,901,0.0,7,1908.572,1,736183.591156,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
24,0,1916.432,0,8,90,100,801,4.5,8,1917.025,1,736183.591256,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
25,0,1924.974,0,4,-30,100,651,9.0,6,1926.703,0,736183.591365,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
26,0,1935.455,0,2,-90,100,601,4.5,3,1936.571,0,736183.59148,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
27,0,1956.228,0,4,-30,100,701,0.0,2,1956.987,0,736183.591716,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
28,0,1968.849,0,3,-60,100,551,9.0,3,1970.576,1,736183.591873,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
29,0,1978.279,0,4,-30,100,501,4.5,4,1979.193,1,736183.591973,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
30,0,1983.286,0,6,30,100,1001,9.0,7,1984.207,0,736183.59203,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0
