Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
211	0	2543.179	0	460	1105	2857	4205	601	10.0	200	0	2	2544.050	0	10	1	-150	100	
212	1	2552.405	0	460	1105	2857	4205	601	10.0	200	0	8	2553.298	1	10	0	-150	100	
213	0	2573.590	0	460	1105	2857	4205	701	-6.7	200	0	2	2574.429	0	10	0	-150	100	
214	1	2618.576	0	460	1105	2857	4205	701	-6.7	200	0	8	2619.566	1	10	0	-150	100	
215	0	2641.512	0	460	1105	2857	4205	801	10.0	200	0	2	2643.452	0	10	0	-150	100	
216	1	2658.945	0	460	1105	2857	4205	801	10.0	200	0	2	2659.492	0	10	0	-150	100	
217	1	2668.106	0	460	1105	2857	4205	801	10.0	200	0	2	2668.997	0	10	0	-150	100	
218	1	2684.638	0	460	1105	2857	4205	801	10.0	200	0	2	2685.534	0	10	0	-150	100	
219	1	2700.607	0	460	1105	2857	4205	801	10.0	200	0	2	2701.383	0	10	0	-150	100	
220	1	2705.717	0	460	1105	2857	4205	801	10.0	200	0	8	2707.092	1	10	0	-150	100	
221	0	2726.865	0	730	2058	2857	4205	901	3.3	200	1	2	2727.672	1	10	0	-150	100	
222	0	2738.978	0	460	1105	2857	4205	1001	6.7	200	0	2	2740.539	0	10	0	-150	100	
